% The water continuum used by the December 2002 "version 7" AIRS
% fast model coefficient is a hybrid of kCARTA's 51 (aka 5.1) and
% 55 (aka 5.5) continuum models developed by UMBC based on the
% CDK models.
%
% Scott Hannon, 13 March 2003
%
% ID = AIRS channel ID (PGE version)
% freq = channel centroid frequency (cm^-1)
% CKD = kCARTA continuum version number
% mult = multiplier applied to the kCARTA continuum 
%
% in SPECTRA/ckd_lookupBIN_v60special.m we combine CKD 51 and CKD 55 as below
%
% ID    freq   CKD   mult
%---- -------- --- --------
  262  724.823  51  0.87000
  263  725.123  51  0.87000
  264  725.424  51  0.87000
  265  725.724  51  0.87000
  266  726.025  51  0.87000
  267  726.326  51  0.87000
  268  726.627  51  0.87000
  269  726.928  51  0.87000
  270  727.230  51  0.87000
  271  727.532  51  0.87000
  272  727.834  51  0.87000
  273  728.137  51  0.87000
  274  728.439  51  0.87000
  275  728.055  51  0.87000
  276  728.357  51  0.87000
  277  728.660  51  0.87000
  278  728.963  51  0.87000
  279  729.266  51  0.87000
  280  729.569  51  0.87000
  281  729.873  51  0.87000
  282  730.177  51  0.87000
  283  730.481  51  0.87000
  284  730.785  51  0.87000
  285  731.090  51  0.87000
  286  731.395  51  0.87000
  287  731.700  51  0.87000
  288  732.005  51  0.87000
  289  732.311  51  0.87000
  290  732.617  51  0.87000
  291  732.923  51  0.87000
  292  733.229  51  0.87000
  293  733.536  51  0.87000
  294  733.843  51  0.87000
  295  734.150  51  0.87000
  296  734.458  51  0.87000
  297  734.765  51  0.87000
  298  735.073  51  0.87000
  299  735.381  51  0.87000
  300  735.690  51  0.87000
  301  735.999  51  0.87000
  302  736.308  51  0.87000
  303  736.617  51  0.87000
  304  736.926  51  0.87000
  305  737.236  51  0.87000
  306  737.546  51  0.87000
  307  737.856  51  0.87000
  308  738.167  51  0.87000
  309  738.477  51  0.87000
  310  738.788  51  0.87000
  311  739.100  51  0.87000
  312  739.411  51  0.87000
  313  739.723  51  0.87000
  314  740.035  51  0.87000
  315  740.347  51  0.87000
  316  740.660  51  0.87000
  317  740.973  51  0.87000
  318  741.286  51  0.87000
  319  741.599  51  0.87000
  320  741.913  51  0.87000
  321  742.227  51  0.87000
  322  742.541  51  0.87000
  323  742.855  51  0.87000
  324  743.170  51  0.87000
  325  743.485  51  0.87000
  326  743.800  51  0.87000
  327  744.116  51  0.87000
  328  744.431  51  0.87000
  329  744.747  51  0.87000
  330  745.064  51  0.87000
  331  745.380  51  0.87000
  332  745.697  51  0.87000
  333  746.014  51  0.87000
  334  746.331  51  0.87000
  335  746.649  51  0.87000
  336  746.967  51  0.87000
  337  747.285  51  0.87000
  338  747.603  51  0.87000
  339  747.922  51  0.87000
  340  748.241  51  0.87000
  341  748.560  51  0.87000
  342  748.879  51  0.87000
  343  749.199  51  0.87000
  344  749.519  51  0.87000
  345  749.839  51  0.87000
  346  750.160  51  0.87000
  347  750.481  51  0.87000
  348  750.802  51  0.87000
  349  751.123  51  0.87000
  350  751.445  51  0.87000
  351  751.767  51  0.87000
  352  752.089  51  0.87000
  353  752.411  51  0.87000
  354  752.734  51  0.87000
  355  753.057  51  0.87000
  356  753.380  51  0.87000
  357  753.703  51  0.87000
  358  754.027  51  0.87000
  359  754.351  51  0.87000
  360  754.676  51  0.87000
  361  755.000  51  0.87000
  362  755.325  51  0.87000
  363  755.650  51  0.87000
  364  755.976  51  0.87000
  365  756.301  51  0.87000
  366  756.627  51  0.87000
  367  756.954  51  0.87000
  368  757.280  51  0.87000
  369  757.607  51  0.87000
  370  757.934  51  0.87000
  371  758.261  51  0.87000
  372  758.589  51  0.87000
  373  758.917  51  0.87000
  374  759.245  51  0.87000
  375  759.573  51  0.87000
  376  759.902  51  0.87000
  377  760.231  51  0.87000
  378  760.561  51  0.87000
  379  760.890  51  0.87000
  380  761.220  51  0.87000
  381  761.550  51  0.87000
  382  761.880  51  0.87000
  383  762.211  51  0.87000
  384  762.542  51  0.87000
  385  762.873  51  0.87000
  386  763.205  51  0.87000
  387  763.537  51  0.87000
  388  763.869  51  0.87000
  389  764.201  51  0.87000
  390  764.534  51  0.87000
  391  764.867  51  0.87000
  392  765.200  51  0.87000
  393  765.534  51  0.87000
  394  765.867  51  0.87000
  395  766.201  51  0.87000
  396  766.536  51  0.87000
  397  766.870  51  0.87000
  398  767.205  51  0.87000
  399  767.541  51  0.87000
  400  767.876  51  0.87000
  401  768.212  51  0.87000
  402  768.548  51  0.87000
  403  768.884  51  0.87000
  404  769.221  51  0.87000
  405  769.558  51  0.87000
  406  769.895  51  0.87000
  407  770.233  51  0.87000
  408  770.570  51  0.87000
  409  770.909  51  0.87000
  410  771.247  51  0.87000
  411  771.586  51  0.87000
  412  771.925  51  0.87000
  413  772.264  51  0.87000
  414  772.603  51  0.87000
  415  772.943  51  0.87000
  416  773.283  51  0.87000
  417  773.624  51  0.87000
  418  773.964  51  0.87000
  419  774.305  51  0.87000
  420  774.647  51  0.87000
  421  774.988  51  0.87000
  422  775.330  51  0.87000
  423  775.672  51  0.87000
  424  776.015  51  0.87000
  425  776.357  51  0.87000
  426  776.700  51  0.87000
  427  777.044  51  0.87000
  428  777.387  51  0.87000
  429  777.731  51  0.87000
  430  778.076  51  0.87000
  431  778.420  51  0.87000
  432  778.765  51  0.87000
  433  779.110  51  0.87000
  434  779.455  51  0.87000
  435  779.801  51  0.87000
  436  780.147  51  0.87000
  437  780.493  51  0.87000
  438  780.840  51  0.87000
  439  781.187  51  0.87000
  440  781.534  51  0.87000
  441  781.882  51  0.87000
  442  789.263  51  0.87000
  443  789.616  51  0.87000
  444  789.971  51  0.87000
  445  790.325  51  0.87000
  446  790.680  51  0.87000
  447  791.035  51  0.87000
  448  791.390  51  0.87000
  449  791.745  51  0.87000
  450  792.101  51  0.87000
  451  792.457  51  0.87000
  452  792.814  51  0.87000
  453  793.171  51  0.87000
  454  793.528  51  0.87000
  455  793.885  51  0.87000
  456  794.243  51  0.87000
  457  794.601  51  0.87000
  458  794.959  51  0.87000
  459  795.318  51  0.87000
  460  795.677  51  0.87000
  461  796.036  51  0.87000
  462  796.396  51  0.87000
  463  796.756  51  0.87000
  464  797.116  51  0.87000
  465  797.477  51  0.87000
  466  797.837  51  0.87000
  467  798.199  51  0.87000
  468  798.560  51  0.87000
  469  798.922  51  0.87000
  470  799.284  51  0.87000
  471  799.646  51  0.87000
  472  800.009  51  0.87000
  473  800.372  51  0.87000
  474  800.735  51  0.87000
  475  801.099  51  0.87000
  476  801.463  51  0.87000
  477  801.827  51  0.87000
  478  802.192  51  0.87000
  479  802.557  51  0.87000
  480  802.922  51  0.87000
  481  803.288  51  0.87000
  482  803.654  51  0.87000
  483  804.020  51  0.87000
  484  804.386  51  0.87000
  485  804.753  51  0.87000
  486  805.120  51  0.87000
  487  805.488  51  0.87000
  488  805.856  51  0.87000
  489  806.224  51  0.87000
  490  806.592  51  0.87000
  491  806.961  51  0.87000
  492  807.330  51  0.87000
  493  807.699  51  0.87000
  494  808.069  51  0.87000
  495  808.439  51  0.87000
  496  808.809  51  0.87000
  497  809.180  51  0.87000
  498  809.551  51  0.87000
  499  809.922  51  0.87000
  500  810.294  51  0.87000
  501  810.666  51  0.87000
  502  811.038  51  0.87000
  503  811.411  51  0.87000
